count,stocks1,stocks2,percent2,percent1
100,4,4,10,65
101,4,4,10,65
102,4,4,10,65
103,4,4,10,65
104,4,4,10,65
105,4,4,10,65
106,4,4,10,65
107,4,4,10,65
108,4,4,10,65
109,4,4,10,65
110,4,4,10,65
111,3,4,10,0
112,3,4,10,0
113,3,4,10,0
114,3,4,10,0
115,3,4,10,0
116,3,4,10,0
117,3,4,10,0
118,3,4,10,0
119,3,4,10,0
120,3,4,10,0
121,3,4,10,0
122,3,4,10,0
123,3,4,10,0
124,3,4,10,0
125,3,4,10,0
126,3,4,10,0
127,3,4,14,0
128,3,4,14,0
129,3,4,14,0
130,3,4,14,0
131,3,4,14,0
132,3,4,14,0
133,3,4,14,0
134,3,4,14,0
135,3,4,14,0
136,3,4,14,0
137,3,4,14,0
138,3,4,14,0
139,3,4,14,1
140,3,4,14,4
141,3,4,14,11
142,3,4,14,11
143,3,4,14,11
144,3,4,14,11
145,3,4,14,11
146,3,4,14,11
147,3,4,14,11
148,3,4,14,11
149,3,4,14,11
150,3,4,14,11
151,3,4,14,11
152,3,4,14,11
153,3,4,14,11
154,3,4,14,22
155,3,4,14,22
156,3,4,14,22
157,3,4,14,22
158,3,4,14,22
159,3,4,14,22
160,3,4,14,22
161,3,4,14,22
162,3,4,14,25
163,3,4,14,32
164,3,4,14,32
165,3,4,14,32
166,3,4,14,32
167,3,4,14,32
168,3,4,14,32
169,3,4,14,32
170,3,4,14,32
171,3,4,14,32
172,3,4,14,32
173,3,4,26,32
174,3,4,26,32
175,3,4,26,32
176,3,4,26,32
177,3,4,38,32
178,3,4,38,32
179,3,4,38,32
180,3,4,38,32
181,3,4,38,34
182,3,4,38,37
183,3,4,38,37
184,3,4,38,44
185,3,4,38,44
186,3,4,38,44
187,3,4,38,44
188,3,4,38,44
189,3,4,38,44
190,3,4,38,44
191,3,4,38,46
192,3,4,38,49
193,3,4,38,56
194,3,4,38,56
195,3,4,38,56
196,3,4,38,56
197,3,4,38,56
198,3,4,38,56
199,3,4,38,56
200,3,4,38,56
201,3,4,38,56
202,3,4,38,56
203,3,4,38,56
204,3,4,38,56
205,3,4,38,56
206,3,4,38,56
207,3,4,38,56
208,3,4,38,56
209,3,4,38,56
210,3,4,38,56
211,3,4,38,56
212,3,4,38,56
213,3,4,38,56
214,3,4,38,56
215,3,4,38,56
216,3,4,38,56
217,3,4,42,56
218,3,4,42,56
219,3,4,42,56
220,3,4,42,56
221,3,4,42,57
222,3,4,42,60
223,3,4,42,67
224,3,4,42,67
225,3,4,42,67
226,3,4,42,67
227,3,4,42,67
228,3,4,42,67
229,3,4,42,67
230,3,4,42,67
231,3,4,42,67
232,3,4,42,67
233,3,4,45,67
234,3,4,45,67
235,3,4,48,67
236,3,4,48,67
237,3,4,48,67
238,3,4,48,67
239,3,4,59,67
240,3,4,59,67
241,3,4,59,67
242,3,4,59,67
243,3,4,59,67
244,3,4,59,67
245,3,4,59,67
246,3,4,61,67
247,3,4,63,67
248,3,4,63,67
249,3,4,63,72
250,3,4,63,72
251,3,4,63,72
252,3,4,63,74
253,3,4,63,77
254,3,4,63,77
255,3,4,63,77
256,3,4,63,77
257,3,4,63,78
258,3,4,63,81
259,3,4,63,81
260,3,4,63,89
261,3,4,63,89
262,3,4,63,89
263,3,4,63,89
264,3,4,63,89
265,3,4,63,89
266,3,4,63,89
267,3,4,63,89
268,3,4,63,89
269,3,4,63,89
270,3,4,65,89
271,3,4,65,89
272,3,4,65,89
273,3,4,65,89
274,3,4,65,89
275,3,4,65,89
276,3,4,65,89
277,3,4,65,89
278,3,4,65,89
279,3,4,65,89
280,3,4,65,89
281,3,4,65,89
282,3,4,65,89
283,3,4,65,89
284,3,4,65,89
285,3,4,65,89
286,3,4,65,89
287,3,4,65,89
288,3,4,65,89
289,3,4,65,89
290,3,4,65,89
291,3,4,65,89
292,3,4,65,89
293,3,4,65,89
294,3,4,65,89
295,3,4,78,89
296,3,4,78,89
297,3,4,78,89
298,3,4,78,89
299,3,4,78,89
300,3,4,78,89
301,3,4,78,89
302,3,4,82,89
303,3,4,82,89
304,3,4,82,89
305,3,4,82,89
306,3,4,82,89
307,3,4,86,89
308,3,4,86,89
309,3,4,86,89
310,3,4,86,89
311,3,4,86,89
312,3,4,86,89
313,3,4,86,89
314,3,4,86,89
315,3,4,86,89
316,3,4,86,89
317,3,4,86,89
318,3,4,86,89
319,3,4,86,89
320,3,4,86,89
321,3,4,86,89
322,3,4,86,89
323,3,4,86,94
324,3,4,86,94
325,3,4,86,104
326,3,4,86,104
327,3,4,86,104
328,3,4,86,104
329,3,4,86,104
330,3,4,86,104
331,3,4,86,104
332,3,4,86,104
333,3,4,86,104
334,3,4,86,104
335,3,4,86,104
336,3,4,86,104
337,3,4,86,104
338,3,4,98,104
339,3,4,98,104
340,3,4,98,104
341,3,4,98,104
342,3,4,100,104
343,3,4,103,104
344,3,4,103,104
345,3,4,103,104
346,3,4,103,104
347,3,4,103,104
348,3,4,103,104
349,3,4,103,104
350,3,4,103,104
351,3,4,103,104
352,3,4,103,104
353,3,4,103,104
354,3,4,103,104
355,3,4,103,104
356,3,4,103,106
357,3,4,103,109
358,3,4,103,109
359,3,4,103,109
360,3,4,120,109
361,3,4,120,109
362,3,4,120,109
363,3,4,120,109
364,3,4,120,109
365,3,4,120,109
366,3,4,120,109
367,3,4,120,109
368,3,4,120,109
369,3,4,120,109
370,3,4,120,109
371,3,4,120,109
372,3,4,120,109
373,3,4,120,109
374,3,3,0,109
375,3,3,0,109
376,3,3,0,109
377,3,3,0,109
378,3,3,0,109
379,3,3,0,109
380,3,3,0,109
381,3,3,0,109
382,3,3,0,109
383,3,3,0,109
384,3,3,0,109
385,3,3,0,109
386,3,3,0,109
387,3,3,0,109
388,3,3,0,109
389,3,3,0,109
390,3,3,0,109
391,3,3,0,109
392,3,3,0,109
393,3,3,0,125
394,3,3,0,125
395,3,3,0,125
396,3,3,0,125
397,3,3,0,125
398,3,3,0,125
399,3,3,0,125
400,3,3,0,125
401,3,3,0,126
402,3,3,0,126
403,3,3,0,126
404,3,3,0,126
405,3,3,0,126
406,3,3,0,126
407,3,3,0,126
408,3,3,0,126
409,3,3,0,126
410,3,3,0,126
411,3,3,0,126
412,3,2,0,126
413,3,2,0,126
414,3,2,0,126
415,3,2,0,126
416,3,2,0,126
417,3,2,0,126
418,3,2,0,126
419,3,2,0,126
420,3,2,0,126
421,3,2,0,126
422,3,2,0,126
423,3,2,0,126
424,3,2,0,126
425,3,2,0,126
426,3,2,0,126
427,3,2,0,126
428,3,2,0,126
429,3,2,0,126
430,3,2,0,126
431,3,2,0,126
432,3,2,0,132
433,3,2,0,132
434,3,2,0,138
435,3,2,0,138
436,3,2,0,138
437,3,2,0,138
438,3,2,0,138
439,3,2,0,138
440,3,2,0,138
441,3,2,0,138
442,3,2,0,138
443,3,2,0,138
444,3,2,0,138
445,3,2,0,138
446,3,2,0,138
447,3,2,11,138
448,3,2,11,138
449,3,2,11,138
450,3,2,11,138
451,3,2,11,146
452,3,2,11,146
453,3,2,11,146
454,3,2,11,146
455,3,2,11,146
